,books,author,downloads
0,Hegel's Lectures on the History of Philosophy: Volume 3 (of 3),Georg Wilhelm Friedrich Hegel,174017 downloads
1,"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,142734 downloads
2,"The City of God, Volume I",Saint of Hippo Augustine,126625 downloads
3,"Moby Dick; Or, The Whale",Herman Melville,121918 downloads
4,Pride and Prejudice,Jane Austen,106559 downloads
5,Romeo and Juliet,William Shakespeare,79916 downloads
6,Crime and Punishment,Fyodor Dostoyevsky,79438 downloads
7,Alice's Adventures in Wonderland,Lewis Carroll,70355 downloads
8,A Room with a View,E. M. Forster,68017 downloads
9,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,63975 downloads
10,"Charles Bradlaugh: a Record of His Life and Work, Volume 1 (of 2)",J. M. Robertson and Hypatia Bradlaugh Bonner,63751 downloads
11,The Complete Works of William Shakespeare,William Shakespeare,62470 downloads
12,The Count of Monte Cristo,Alexandre Dumas and Auguste Maquet,61434 downloads
13,The King in Yellow,Robert W. Chambers,60068 downloads
14,Middlemarch,George Eliot,58440 downloads
15,The Great Gatsby,F. Scott Fitzgerald,57384 downloads
16,The Blue Castle: a novel,L. M. Montgomery,55148 downloads
17,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,54293 downloads
18,Jane Eyre: An Autobiography,Charlotte Brontë,53603 downloads
19,My Life — Volume 1,Richard Wagner,48774 downloads
20,The origin and development of the moral ideas,Edward Westermarck,47338 downloads
21,Dracula,Bram Stoker,47265 downloads
22,Adventures of Huckleberry Finn,Mark Twain,47032 downloads
23,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,46673 downloads
24,Twenty years after,Alexandre Dumas and Auguste Maquet,45344 downloads
25,Twenty years after,Alexandre Dumas and Auguste Maquet,45344 downloads
26,Wuthering Heights,Emily Brontë,45151 downloads
27,The Adventures of Sherlock Holmes,Arthur Conan Doyle,44305 downloads
28,The Enchanted April,Elizabeth Von Arnim,44010 downloads
29,The Picture of Dorian Gray,Oscar Wilde,43743 downloads
30,Spoon River Anthology,Edgar Lee Masters,42641 downloads
31,A Doll's House : a play,Henrik Ibsen,42426 downloads
32,The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,41678 downloads
33,A Tale of Two Cities,Charles Dickens,41142 downloads
34,The Expedition of Humphry Clinker,T. Smollett,40956 downloads
35,Cranford,Elizabeth Cleghorn Gaskell,40840 downloads
36,"History of Tom Jones, a Foundling",Henry Fielding,40231 downloads
37,The Brothers Karamazov,Fyodor Dostoyevsky,40203 downloads
38,The Adventures of Roderick Random,T. Smollett,39644 downloads
39,Fifteen Thousand Useful Phrases,Grenville Kleiser,35672 downloads
40,The Confessions of St. Augustine,Saint of Hippo Augustine,34153 downloads
41,Report of the President's Commission on the Assassination of President John F. Kennedy,United States. Warren Commission,33528 downloads
42,A Modest Proposal,Jonathan Swift,33263 downloads
43,"The Adventures of Tom Sawyer, Complete",Mark Twain,33087 downloads
44,Meditations,Emperor of Rome Marcus Aurelius,31764 downloads
45,The 2003 CIA World Factbook,United States. Central Intelligence Agency,31756 downloads
46,"The Life of Charles Dickens, Vol. I-III, Complete",John Forster,31088 downloads
47,Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,30251 downloads
48,"Les mille et une nuits, tome premier (French)",,30007 downloads
49,Great Expectations,Charles Dickens,29889 downloads
50,"The Junior Classics, Volume 1: Fairy and wonder tales",William Allan Neilson,29676 downloads
51,Die Traumdeutung (German),Sigmund Freud,29070 downloads
52,The 2006 CIA World Factbook,United States. Central Intelligence Agency,28947 downloads
53,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,28928 downloads
54,Life on the Mississippi,Mark Twain,28375 downloads
55,Treasure Island,Robert Louis Stevenson,28068 downloads
56,Beowulf: An Anglo-Saxon Epic Poem,,28060 downloads
57,Metamorphosis,Franz Kafka,27859 downloads
58,Leviathan,Thomas Hobbes,27738 downloads
59,The Prince,Niccolò Machiavelli,27668 downloads
60,The Yellow Wallpaper,Charlotte Perkins Gilman,26813 downloads
61,"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,26802 downloads
62,Ulysses,James Joyce,25553 downloads
63,Sense and Sensibility,Jane Austen,25511 downloads
64,The Hound of the Baskervilles,Arthur Conan Doyle,25137 downloads
65,"White nights, and other stories",Fyodor Dostoyevsky,25021 downloads
66,The Scarlet Letter,Nathaniel Hawthorne,24940 downloads
67,The Works of Mr. George Gillespie (Vol. 1 of 2),George Gillespie,24867 downloads
68,A Study in Scarlet,Arthur Conan Doyle,24849 downloads
69,The divine comedy,Dante Alighieri,24848 downloads
70,Anne of Green Gables,L. M. Montgomery,24515 downloads
71,Oedipus King of Thebes,Sophocles,24233 downloads
72,The Secret of Chimneys,Agatha Christie,24132 downloads
73,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,23985 downloads
74,The Mysteries of Udolpho,Ann Ward Radcliffe,23897 downloads
75,Beyond Good and Evil,Friedrich Wilhelm Nietzsche,23854 downloads
76,The Odyssey,Homer,23647 downloads
77,Autobiography of Benjamin Franklin,Benjamin Franklin,23590 downloads
78,War and Peace,graf Leo Tolstoy,23551 downloads
79,Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,23521 downloads
80,"The Rámáyan of Válmíki, translated into English verse",Valmiki,23492 downloads
81,The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",23335 downloads
82,The Kama Sutra of Vatsyayana,Vatsyayana,22961 downloads
83,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",Austin Bidwell,22916 downloads
84,On the Duties of the Clergy,Bishop of Milan Saint Ambrose,22460 downloads
85,The Wonderful Wizard of Oz,L. Frank Baum,22252 downloads
86,警世通言 (Chinese),Menglong Feng,22145 downloads
87,The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,22110 downloads
88,Peter Pan :  [Peter and Wendy],J. M. Barrie,21993 downloads
89,"Three Hundred Tang Poems, Volume 1 (Chinese)",Various,21952 downloads
90,Carmen,Prosper Mérimée,21882 downloads
91,"England under the Angevin Kings, Volumes I and II",Kate Norgate,21798 downloads
92,"The Two Magics: The Turn of the Screw, Covering End",Henry James,21727 downloads
93,"Modern English biography, volume 2 (of 4), I-Q",Frederic Boase,21722 downloads
94,Putnam's Word Book,Louis A. Flemming,21630 downloads
95,The Works of William Shakespeare [Cambridge Edition] [Vol. 3 of 9],William Shakespeare,21352 downloads
96,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",,21198 downloads
97,Color Images from Mars Rovers,Bob Webster,21058 downloads
98,Der Zauberberg. Erster Band (German),Thomas Mann,21014 downloads
99,The Book of the Thousand Nights and a Night — Volume 01 (of 10),,20978 downloads
100,The Lady of the Lake,Walter Scott,20805 downloads
101,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,20761 downloads
102,The Great Controversy Between Christ and Satan,Ellen Gould Harmon White,20643 downloads
103,The History of Sir Richard Calmady: A Romance,Lucas Malet,20568 downloads
104,The Love Letters of Mary Wollstonecraft to Gilbert Imlay,Mary Wollstonecraft,20514 downloads
105,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),,20477 downloads
106,The Souls of Black Folk,W. E. B. Du Bois,20394 downloads
107,"Dr. Mabuse, der Spieler :  Roman (German)",Norbert Jacques,20375 downloads
108,The Green Mummy,Fergus Hume,20358 downloads
109,The Turn of the Screw,Henry James,20345 downloads
110,The Works of William Shakespeare [Cambridge Edition] [Vol. 7 of 9],William Shakespeare,20217 downloads
111,A Connecticut Yankee in King Arthur's Court,Mark Twain,20188 downloads
112,"The Lives of the Twelve Caesars, Complete",Suetonius,20107 downloads
113,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,20080 downloads
114,The Man Who Was Thursday: A Nightmare,G. K. Chesterton,19849 downloads
115,"The Metamorphoses of Ovid, Books I-VII",Ovid,19623 downloads
116,Calculus Made Easy,Silvanus P. Thompson,19571 downloads
117,Ancient Britain and the Invasions of Julius Caesar,T. Rice Holmes,19290 downloads
118,Second Treatise of Government,John Locke,19101 downloads
119,A farewell to arms,Ernest Hemingway,19092 downloads
120,Anna Karenina,graf Leo Tolstoy,18790 downloads
121,Poems Every Child Should Know,,18685 downloads
122,Heart of Darkness,Joseph Conrad,18661 downloads
123,"A History of Magic and Experimental Science, Volume 1 (of 2)",Lynn Thorndike,18650 downloads
124,Four Arthurian Romances,active 12th century de Troyes Chrétien,18633 downloads
125,The Prince and the Pauper,Mark Twain,18546 downloads
126,Buddenbrooks: Verfall einer Familie (German),Thomas Mann,18507 downloads
127,"The best short stories of 1920, and the yearbook of the American short story",,18451 downloads
128,The Waterloo Roll Call,Charles Dalton,18378 downloads
129,"The Anabasis of Alexander :  or, The history of the wars and conquests of Alexander the Great",Arrian,18363 downloads
130,Jesus the Christ,James E. Talmage,18333 downloads
131,Twenty Thousand Leagues Under the Sea,Jules Verne,18328 downloads
132,Le Fantôme de l'Opéra (French),Gaston Leroux,18292 downloads
133,The Monk: A Romance,M. G. Lewis,18227 downloads
134,Around the World in Eighty Days,Jules Verne,18172 downloads
135,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",Thomas Peckett Prest and James Malcolm Rymer,18164 downloads
136,"The Natural History of Pliny, Volume 2 (of 6)",the Elder Pliny,18152 downloads
137,On Liberty,John Stuart Mill,18125 downloads
138,"Thuvia, maid of Mars",Edgar Rice Burroughs,17928 downloads
139,"Travels in the Great Desert of Sahara, in the Years of 1845 and 1846",James Richardson,17923 downloads
140,Pride and Prejudice,Jane Austen,17639 downloads
141,The murder of Roger Ackroyd,Agatha Christie,17611 downloads
142,Les Misérables,Victor Hugo,17483 downloads
143,London and the Kingdom - Volume 2,Reginald R. Sharpe,17459 downloads
144,Sense and Sensibility,Jane Austen,17309 downloads
145,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,17274 downloads
146,Moby Multiple Language Lists of Common Words,Grady Ward,17190 downloads
147,The Sorrows of Young Werther,Johann Wolfgang von Goethe,17154 downloads
