,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
0,TCS,Job Security,"Promotions, Salary, Work Satisfaction",3.3,1.1L,10.1L,11.8k,4.4k,IT Services & Consulting | Bengaluru +442 other locations,NA
1,Accenture,"Promotions, Salary, Work Satisfaction",,3.7,73.3k,7L,9.4k,40.9k,IT Services & Consulting | Bengaluru +259 other locations,NA
2,Wipro,"Promotions, Salary, Work Satisfaction",,3.6,65k,4.9L,6.8k,332,IT Services & Consulting | Hyderabad +373 other locations,NA
3,Cognizant,"Promotions, Salary, Work Satisfaction",,3.7,61.4k,6.1L,6.5k,437,IT Services & Consulting | Hyderabad +231 other locations,NA
4,Capgemini,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",3.6,53.3k,4.9L,5.5k,2.1k,IT Services & Consulting | Bengaluru +180 other locations,NA
5,HDFC Bank,"Job Security, Skill Development","Promotions, Salary",3.8,52.3k,1.5L,3k,329,Banking | Mumbai +1849 other locations,NA
6,Infosys,Job Security,"Promotions, Salary, Work Satisfaction",3.5,48.7k,5.3L,8.4k,2.2k,IT Services & Consulting | Bengaluru +244 other locations,NA
7,HCLTech,"Promotions, Salary, Work Satisfaction",,3.4,45.9k,3.9L,4.6k,225,IT Services & Consulting | Chennai +231 other locations,NA
8,ICICI Bank,"Job Security, Promotions, Skill Development",,4.0,45.9k,1.5L,3k,20,Banking | Mumbai +1442 other locations,NA
9,Tech Mahindra,"Promotions, Salary, Work Satisfaction",,3.4,43.2k,2.9L,4.6k,552,IT Services & Consulting | Hyderabad +322 other locations,NA
10,Genpact,Job Security,"Promotions, Salary, Work Satisfaction",3.6,42.2k,2.4L,3.9k,614,Analytics & KPO | Hyderabad +181 other locations,NA
11,TP,"Work Life Balance, Job Security",,3.8,38.4k,99.1k,2.2k,1.6k,BPO | Mumbai +256 other locations,NA
12,Jio,"Job Security, Skill Development, Company Culture",,4.4,33.6k,62.1k,4.4k,1,Telecom | Mumbai +1956 other locations,NA
13,Axis Bank,"Promotions, Work Satisfaction, Company Culture",,3.6,33.1k,1L,2k,245,Banking | Mumbai +1519 other locations,NA
14,Concentrix Corporation,Job Security,"Promotions, Salary, Work Satisfaction",3.6,32.2k,1.3L,2k,11,BPO | Bengaluru +182 other locations,NA
15,Amazon,"Company Culture, Work Life Balance, Salary",Promotions,3.9,31.4k,1.6L,5.9k,2.5k,Internet | Bengaluru +515 other locations,NA
16,Reliance Retail,"Job Security, Skill Development, Work Life Balance",Promotions,3.9,27.3k,75.9k,2k,110,Retail | Mumbai +1159 other locations,NA
17,iEnergizer,"Salary, Company Culture, Work Life Balance",,4.6,27k,24.7k,1.5k,94,BPO | Noida +52 other locations,NA
18,LTIMindtree,"Promotions, Salary, Work Satisfaction",,3.6,26.4k,2L,3.5k,518,IT Services & Consulting | Bengaluru +144 other locations,NA
19,IBM,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,25.8k,2.2L,2.6k,1.7k,IT Services & Consulting | Bengaluru +161 other locations,NA
20,HDB Financial Services,"Work Life Balance, Job Security, Skill Development","Promotions, Salary",3.9,25.6k,50k,1.1k,2.1k,NBFC | Mumbai +1091 other locations,NA
21,Larsen & Toubro Limited,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",3.9,23.8k,76.6k,1.9k,247,Engineering & Construction | Chennai +764 other locations,NA
22,Deloitte,"Promotions, Work Life Balance, Work Satisfaction",,3.7,23.1k,2.6L,3.3k,1.8k,Management Consulting | Hyderabad +182 other locations,NA
23,Kotak Mahindra Bank,"Promotions, Work Satisfaction, Company Culture",,3.6,22.4k,87k,1.4k,164,Banking | Mumbai +691 other locations,NA
24,Reliance Industries,"Job Security, Work Life Balance, Skill Development",Promotions,4.0,20.2k,73.9k,1.6k,78,Oil & Gas | Jamnagar +820 other locations,NA
25,Vodafone Idea,"Salary, Company Culture, Work Life Balance",Promotions,3.9,17.6k,49.1k,696,79,Telecom | Pune +705 other locations,NA
26,Bharti Airtel,Promotions,,3.8,17k,50k,1.1k,165,Telecom | Gurugram +788 other locations,NA
27,BYJU'S,"Job Security, Company Culture, Work Life Balance",,3.2,16.3k,50.7k,2.1k,1,EdTech | Bengaluru +321 other locations,NA
28,WNS,"Promotions, Salary, Work Satisfaction",,3.3,15.2k,71.3k,1.3k,58,IT Services & Consulting | Pune +65 other locations,NA
29,IDFC FIRST Bank,"Salary, Skill Development",,3.9,14.5k,50.2k,969,42,Banking | Mumbai +727 other locations,NA
30,Ernst & Young,"Promotions, Work Life Balance, Work Satisfaction",,3.4,14.5k,1.5L,1.3k,4.5k,Management Consulting | Bengaluru +134 other locations,NA
31,IndusInd Bank,"Promotions, Company Culture, Work Satisfaction",,3.4,14.2k,52.5k,775,149,Banking | Mumbai +796 other locations,NA
32,AU Small Finance Bank,Salary,,3.8,14.2k,29.7k,708,184,Banking | Jaipur +799 other locations,NA
33,Tata Motors,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,14.1k,43k,1.3k,191,Automobile | Pune +506 other locations,NA
34,Muthoot FinCorp,"Company Culture, Skill Development, Work Life Balance",,4.5,13.1k,9.5k,2.4k,46,NBFC | Bengaluru +1121 other locations,NA
35,Bajaj Finserv,"Salary, Skill Development, Job Security",,4.0,13.1k,31.3k,770,2,NBFC | Pune +1192 other locations,NA
36,Flipkart,"Skill Development, Salary",Promotions,3.9,12.9k,56.2k,1.7k,94,Internet | Bengaluru +553 other locations,NA
37,PwC,"Promotions, Work Life Balance, Work Satisfaction",,3.3,12.6k,1.3L,1.6k,1.1k,Management Consulting | Bengaluru +135 other locations,NA
38,Mahindra & Mahindra,"Job Security, Skill Development, Company Culture",Promotions,4.0,12.1k,40.9k,881,2,Automobile | Pune +565 other locations,NA
39,Infosys BPM,Job Security,"Promotions, Salary, Work Satisfaction",3.5,12k,76.8k,1.1k,66,BPO | Bengaluru +95 other locations,NA
40,HDFC Life,Skill Development,,3.9,12k,33.2k,812,88,Insurance | Mumbai +715 other locations,NA
41,DXC Technology,Work Life Balance,"Promotions, Salary, Work Satisfaction",3.6,12k,74.7k,901,176,IT Services & Consulting | Bengaluru +130 other locations,NA
42,Bandhan Bank,"Promotions, Work Satisfaction, Skill Development",,3.7,11.1k,26k,761,3,Banking | Kolkata +1010 other locations,NA
