username,display_name,profile_picture,bio,follow_status,scraped_at
@subhraneeltwt,subhraneel,https://pbs.twimg.com/profile_images/2049773150754484224/Ylzo8bZl_normal.jpg,,Follow,2026-07-20T18:14:57.674828
@ishivgaur,Shivam Gaur,https://pbs.twimg.com/profile_images/2070167547329310720/8YJaA1tj_normal.jpg,,Follow,2026-07-20T18:14:57.802368
@ARP1Tishere,Arpit Rawat,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,Follow,2026-07-20T18:14:57.970978
@TeaMaster_X,Tea Master,https://pbs.twimg.com/profile_images/2074380722346115072/1U1L1dTm_normal.jpg,,Follow,2026-07-20T18:14:58.096608
@vimzhtwt,vimzh,https://pbs.twimg.com/profile_images/2031204314727985159/0emXU7iz_normal.jpg,,Follow,2026-07-20T18:14:58.236312
@vihanbedi,vihan,https://pbs.twimg.com/profile_images/2069331879787130880/8P495qFl_normal.jpg,,Follow,2026-07-20T18:14:58.356819
@0xkozue,kozue,https://pbs.twimg.com/profile_images/2068811454929870849/l5TbA376_normal.jpg,,Follow,2026-07-20T18:14:58.524651
@Aditi_codes_,Aditi Tripathi,https://pbs.twimg.com/profile_images/1977006008934551552/l5ApwVP7_normal.jpg,,Follow,2026-07-20T18:14:58.633278
@lokidotdev,Loki,https://pbs.twimg.com/profile_images/2033847225777016832/2p4e1erz_normal.jpg,,Follow,2026-07-20T18:14:58.772415
@Celiiarvi,Janice doris,https://pbs.twimg.com/profile_images/1929456591063101440/lsCmGbsy_normal.jpg,,Follow,2026-07-20T18:14:58.894854
@flying_jatt45,Flying Jatt,https://pbs.twimg.com/profile_images/2067708813545963520/SnWFNu56_normal.jpg,,Follow,2026-07-20T18:14:59.002329
@aaryanngoyal,Aaryan Goyal,https://pbs.twimg.com/profile_images/2072760569451671553/uerKb2og_normal.jpg,,Follow,2026-07-20T18:14:59.121695
@Ankitdio,Ankit,https://pbs.twimg.com/profile_images/2076358956495331328/mpQHxjia_normal.jpg,,Follow,2026-07-20T18:14:59.244792
@gamerhelo7,reconnecting.,https://pbs.twimg.com/profile_images/1676950858146406400/ueqp9Lzn_normal.png,,Follow,2026-07-20T18:14:59.370938
@x07_tania,Tania,https://pbs.twimg.com/profile_images/2071842846756184064/peFjwTc6_normal.jpg,,Follow,2026-07-20T18:14:59.514639
