id,name,country,height,weight,team
74,S. Amrabat,Morocco,183,82,Manchester United
526,A. Onana,Cameroon,190,93,Manchester United
739,Reguilón,Spain,178 cm,68 kg,Manchester United
742,R. Varane,France,191 cm,81 kg,Manchester United
889,V. Lindelöf,Sweden,187,80,Manchester United
897,M. Greenwood,England,181,70,Manchester United
908,A. Martial,France,181,76,Manchester United
2931,T. Heaton,England,188,85,Manchester United
153434,W. Fish,England,185,,Manchester United
180560,H. Mejbri,Tunisia,177,74,Manchester United
284242,O. Forson,England,179,74,Manchester United
284307,Ethan Ennis,England,178,,Manchester United
284324,A. Garnacho,Argentina,180,73,Manchester United
284363,R. Bennett,England,187,,Manchester United
284391,S. Murray,England,,,Manchester United
303016,M. Oyedele,Poland,180,70,Manchester United
303017,Samuel Mather,England,,,Manchester United
330636,Sonny Aljofree,England,186,,Manchester United
365664,Ethan Williams,England,,,Manchester United
402329,A. Heaven,England,189,77,Manchester United
18,J. Sancho,England,180,76,Manchester United
532,M. de Ligt,Netherlands,187,89,Manchester United
545,N. Mazraoui,Morocco,183,63,Manchester United
747,Casemiro,Brazil,185,84,Manchester United
886,Diogo Dalot,Portugal,183,78,Manchester United
891,L. Shaw,England,178,80,Manchester United
1485,Bruno Fernandes,Portugal,179,66,Manchester United
2467,Lisandro Martínez,Argentina,175,72,Manchester United
2935,H. Maguire,England,194,90,Manchester United
9971,Antony,Brazil,174,63,Manchester United
19220,M. Mount,England,181,76,Manchester United
37145,T. Malacia,Netherlands,170,67,Manchester United
51494,M. Ugarte,Uruguay,182,77,Manchester United
70100,J. Zirkzee,Netherlands,193,84,Manchester United
157997,A. Diallo,Côte d'Ivoire,173,72,Manchester United
284322,K. Mainoo,England,175,72,Manchester United
328101,T. Fredricson,England,184,70,Manchester United
342970,L. Yoro,France,190,83,Manchester United
382452,P. Dorgu,Denmark,185,68,Manchester United
403064,H. Amass,England,181,71,Manchester United
1165,Matheus Cunha,Brazil,183,76,Manchester United
18846,A. Wan-Bissaka,England,183,72,Manchester United
284382,Dermot William Mee,Northern Ireland,183,,Manchester United
284539,H. Graczyk,England,192 cm,85 kg,Manchester United
288006,R. Højlund,Denmark,191,86,Manchester United
288112,Willy Kambwala Ndengushi,France,192,85,Manchester United
298062,Louis Jackson,England,,,Manchester United
378981,Elyh Harrison,England,182,,Manchester United
389309,O. Martin,Denmark,188,68,Manchester United
396483,Shea Lacey,England,167 cm,,Manchester United
396729,J. Scanlon,England,180,,Manchester United
402330,J. Kamason,England,,,Manchester United
402331,R. Munro,England,,,Manchester United
404017,Tyler Fletcher,England,,,Manchester United
404769,Bendito Mantato,England,180,,Manchester United
