id,title,original_language,original_title,overview,release_date,popularity,vote_count,rating
13448,Angels & Demons,en,Angels & Demons,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.",2009-04-20,6.8861,7323,6.719
9603,Clueless,en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,7.519,4801,7.255
6557,27 Dresses,en,27 Dresses,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,2008-01-10,5.7786,3421,6.453
1333100,Attack on Titan: THE LAST ATTACK,ja,劇場版「進撃の巨人」完結編 THE LAST ATTACK,"A colossal-sized omnibus film bringing together the last two episodes of Attack on Titan in the franchise's first-ever theatrical experience. After venturing beyond the walls and separated from his comrades, Eren finds himself inspired by this new truth and plots the ""Rumbling,"" a terrifying plan to eradicate every living thing in the world. With the fate of the world hanging in the balance, a motley crew of Eren's former comrades and enemies scramble to halt his deadly mission. The only question is, can they stop him?",2024-03-20,6.0979,205,8.7
578701,Those Who Wish Me Dead,en,Those Who Wish Me Dead,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",2021-05-05,6.2045,1849,6.607
1529513,Kong Tao,zh,蛊降,"Local property developer Song Longchen secretly employs black magic—known as Hexing—to seize control of valuable land parcels. His schemes leave behind a trail of unexplained deaths, which authorities dismiss as mere accidents due to widespread skepticism toward the supernatural.",2026-03-19,5.6685,2,8.5
2502,The Bourne Supremacy,en,The Bourne Supremacy,"A CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",2004-07-23,6.6624,8158,7.332
9297,Monster House,en,Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",2006-06-30,6.2944,4328,6.71
508935,The Eight Hundred,zh,八佰,"In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",2020-08-14,5.5712,336,7.0
1576198,Madulas,en,Madulas,"At the luxurious Wet & Wild Resort, a group of glamorous women become infatuated with a charming new pool boy whose irresistible allure draws them in. But as passion turns to obsession, they soon uncover a dark secret that reveals he’s not as innocent as he seems.",2025-11-14,6.4494,1,4.0
