id,title,original_language,overview,release_date,original_title,vote_average,vote_count
1339713,Obsession,en,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-13,Obsession,7.9,497
1304313,Lee Cronin's The Mummy,en,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",2026-04-15,Lee Cronin's The Mummy,8.056,1548
1433117,Kara,ta,"A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.",2026-04-30,கர,5.8,14
1380291,Tom Clancy's Jack Ryan: Ghost War,en,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",2026-05-20,Tom Clancy's Jack Ryan: Ghost War,7.105,457
1083381,Backrooms,en,A strange doorway appears in the basement of a furniture showroom.,2026-05-27,Backrooms,6.7,275
1439930,The Punisher: One Last Kill,en,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",2026-05-12,The Punisher: One Last Kill,8.363,1425
687163,Project Hail Mary,en,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",2026-03-15,Project Hail Mary,8.654,4562
1226863,The Super Mario Galaxy Movie,en,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",2026-04-01,The Super Mario Galaxy Movie,8.116,2293
1582770,Dhurandhar: The Revenge,hi,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",2026-03-18,धुरंधर: द रिवेंज,7.3,106
1007757,Swapped,en,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",2026-05-01,Swapped,8.976,1540
1523145,Your Heart Will Be Broken,ru,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",2026-03-26,Твоё сердце будет разбито,6.8,83
603,The Matrix,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",1999-03-31,The Matrix,8.246,27935
1065834,Kattalan,ml,"Power-hungry forces clash in the Ivory cartel war-a fierce story of control, vengeance, and survival where compassion vanishes and only the ruthless endure.",2026-05-14,കാട്ടാളൻ,6.0,1
1371023,Chand Mera Dil,hi,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.",2026-05-22,चाँद मेरा दिल,3.833,3
1419406,The Shadow's Edge,zh,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,2025-08-16,捕风追影,7.558,755
405818,Door II: Tokyo Diary,ja,Ai is a call girl that makes good money for what she does but there’s always at risk no matter how good the money is.,1991-04-25,Door II: Tokyo Diary,6.071,14
1116201,Iron Lung,en,"In a post-apocalyptic future where an event known as ""The Quiet Rapture"" caused all known stars and habitable planets in the universe to disappear, a convict is sent to search an ocean of blood discovered on a desolate moon, using a small submarine nicknamed the ""Iron Lung"".",2026-01-30,Iron Lung,7.172,195
976912,Graphic Desires,en,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",2023-08-31,Graphic Desires,6.951,81
83533,Avatar: Fire and Ash,en,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2025-12-17,Avatar: Fire and Ash,7.547,3301
1228710,The Mandalorian and Grogu,en,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",2026-05-20,The Mandalorian and Grogu,6.858,379
1510339,Mark,kn,"Mark is suspended from his police duties for his unruly yet effective ways of operating, but when 18 children are abducted and found dead, races to catch the criminals. With only 18 hours left, he must confront powerful foes and use unconventional tactics to succeed.",2025-12-25,ಮಾರ್ಕ್,4.0,1
249397,Nymphomaniac: Vol. II,en,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,2013-12-25,Nymphomaniac: Vol. II,6.712,3171
931285,Mortal Kombat II,en,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",2026-05-06,Mortal Kombat II,6.734,366
1320660,Pati Patni Aur Woh Do,hi,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",2026-05-15,पति पत्नी और वो दो,7.5,4
1367220,Karuppu,ta,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",2026-05-14,கருப்பு,7.364,11
350,The Devil Wears Prada,en,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",2006-06-29,The Devil Wears Prada,7.427,13643
1390300,Over Your Dead Body,en,"A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.",2026-04-24,Over Your Dead Body,6.8,85
460465,Mortal Kombat,en,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021-04-07,Mortal Kombat,7.037,6688
186745,Rape of Love,fr,"Nicole, nurse in Grenoble, is raped one night by four men. Deeply scarred, emotionally and physically, she thinks she will never recover from the trauma. Following a friend's advice, she decides to file a lawsuit.",1978-01-10,L'Amour violé,5.6,24
1327819,Hoppers,en,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",2026-03-04,Hoppers,8.2,1345
11012,Damage,en,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,1992-12-02,Damage,6.555,681
44980,Zero Woman 2,ja,"When a valuable suitcase is stolen, the mob, petty criminals, and a beautiful agent from the Elite Zero division are pulled into a battle to settle the score.",1995-09-05,Zero WOMAN ＩＩ　警視庁０課の女,5.0,8
1430077,Hokum,en,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",2026-04-29,Hokum,7.08,94
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,7.728,847
1472951,Infiltrate,en,"In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever.",2026-04-10,Infiltrate,5.469,16
1318447,Apex,en,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,2026-04-24,Apex,6.737,1342
1297842,GOAT,en,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",2026-02-11,GOAT,8.119,721
936075,Michael,en,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-04-22,Michael,7.581,899
