student_id,age,gender,state,family_income,high_school_gpa,sat_score,act_score,attendance_rate,ap_courses,extracurricular_count,volunteer_hours,leadership_positions,coding_projects,social_media_hours,online_certifications,essay_score,recommendation_score,interview_score,admission_status
955355,20,Female,Texas,64367,4.0,1312,25,89.6,0,3,64,0,2,2.7,1,76.1,79.0,61.3,1
250254,22,Male,Ohio,73871,3.25,1129,27,98.0,4,5,64,1,3,2.8,1,81.7,90.9,54.8,1
31340,19,Male,Virginia,124991,3.92,746,15,87.2,2,5,139,1,1,3.7,3,66.9,71.5,73.1,1
613289,18,Male,Florida,35467,4.0,1110,34,80.9,2,4,29,2,2,5.8,1,83.9,78.4,34.9,1
861068,20,Male,Virginia,77732,3.14,1051,22,86.0,3,6,171,1,0,5.9,3,64.4,96.6,74.5,1
509495,19,Male,Georgia,63788,2.97,1127,16,88.7,1,9,68,0,0,3.6,1,78.9,71.0,71.6,1
956480,21,Female,Virginia,75674,3.02,977,19,94.0,2,3,149,1,0,5.2,3,95.0,86.7,64.2,1
433081,19,Female,Ohio,126247,3.68,1265,19,87.3,1,4,142,1,4,3.2,1,69.9,64.5,61.6,1
917771,18,Male,Illinois,43671,3.39,1145,23,96.9,4,8,49,0,5,5.1,1,79.8,61.5,89.6,1
304700,17,Female,Virginia,65043,3.5,924,20,91.8,2,3,96,0,1,4.8,2,76.0,82.0,46.8,1
670286,19,Female,Washington,55494,3.16,1004,23,94.8,2,0,101,2,3,3.6,1,89.2,74.5,66.6,1
352461,21,Male,Georgia,41185,3.29,1231,36,89.1,2,5,87,0,1,4.8,1,63.5,83.1,64.4,1
99683,18,Male,Washington,90049,2.64,1385,28,100.0,5,3,162,2,0,8.0,2,100.0,75.6,88.5,1
433451,20,Female,Florida,292388,2.37,1280,16,83.7,4,6,97,0,1,2.1,1,74.5,75.1,71.7,1
694037,16,Female,Ohio,25092,2.65,1171,31,89.1,3,6,117,2,1,5.1,1,78.1,79.9,96.8,1
174779,21,Male,Washington,43935,3.42,1089,27,90.1,2,6,57,3,1,3.2,1,76.0,95.2,75.3,1
729494,22,Male,Illinois,56354,2.54,912,26,90.1,3,5,65,2,4,6.9,2,80.8,83.2,75.1,1
806634,19,Male,California,171288,3.39,1600,20,99.0,5,1,126,3,3,7.5,1,82.6,88.4,64.0,1
6438,16,Female,Washington,144561,3.21,972,18,92.7,2,7,151,0,3,10.3,5,84.6,87.2,74.2,1
597281,19,Female,Georgia,56977,2.67,1141,24,89.5,7,4,50,0,0,3.4,1,92.6,68.4,58.4,1
101733,16,Female,Washington,65542,3.52,792,33,95.7,2,6,150,5,4,1.1,2,85.6,79.7,89.5,1
36265,19,Male,California,33674,2.97,1167,21,98.7,6,6,390,3,0,4.5,2,58.4,79.5,85.7,1
447154,22,Female,Ohio,47164,2.72,1157,33,89.1,2,4,115,0,4,4.4,1,72.1,71.3,92.2,1
292929,16,Female,Ohio,31086,3.13,876,20,100.0,6,3,119,1,1,6.2,1,71.0,73.4,75.8,1
43153,21,Female,Ohio,72325,2.8,1166,24,93.2,2,2,55,1,0,1.9,2,68.6,85.8,81.3,1
671059,19,Female,Virginia,104248,3.0,986,34,89.3,0,4,87,3,1,5.5,4,67.2,89.6,90.1,1
531248,19,Female,Illinois,71117,2.82,1023,18,93.8,1,4,53,1,3,6.7,4,70.6,78.1,49.1,0
606616,21,Female,North Carolina,80563,3.66,1298,21,88.7,1,5,135,2,2,4.8,3,61.9,54.3,85.5,1
842239,20,Other,North Carolina,39538,3.38,860,24,92.5,1,3,92,0,2,2.7,3,78.8,74.7,90.0,1
394800,18,Male,Florida,15104,2.66,963,22,83.4,2,1,96,2,2,5.6,2,79.5,78.2,100.0,1
572437,19,Female,California,62347,3.44,1130,22,95.4,2,2,89,2,1,6.9,0,66.1,61.4,80.2,1
642419,19,Female,New York,73333,3.92,1108,21,94.1,3,4,182,1,1,4.2,3,95.0,63.0,94.5,1
215557,17,Female,California,160158,3.12,952,29,98.6,3,6,190,1,0,5.7,1,86.7,84.1,87.8,1
888941,16,Male,Ohio,46576,2.88,1223,27,95.2,2,2,171,1,1,7.0,1,69.0,92.4,60.0,1
454387,18,Female,Texas,51903,3.42,1043,21,84.8,5,6,61,1,2,4.5,2,64.0,73.7,85.8,1
374840,19,Male,New York,41194,3.43,1317,19,95.1,2,5,87,1,1,3.8,2,78.1,55.5,89.9,1
525107,20,Female,Ohio,35314,3.33,1065,9,90.6,1,4,28,0,0,5.2,1,72.0,67.9,74.2,1
402242,20,Male,Washington,53498,3.09,999,33,94.6,1,2,41,0,1,5.9,1,77.6,81.4,66.6,1
203366,17,Female,Ohio,25603,3.85,1117,10,86.8,3,6,74,0,1,7.6,0,63.5,91.8,70.0,1
936472,19,Male,Texas,19849,2.58,1275,25,100.0,1,5,140,1,1,3.2,1,63.8,78.3,58.8,1
568625,18,Female,Virginia,55736,2.98,1496,21,88.3,2,4,157,1,4,5.0,1,92.1,82.6,50.7,1
213281,21,Female,Illinois,31398,3.27,877,29,83.5,4,7,95,0,2,4.0,3,68.1,73.7,82.8,1
376752,18,Female,North Carolina,183984,2.66,1296,27,86.1,3,1,77,0,4,4.5,3,70.4,85.5,96.9,1
475842,16,Female,Virginia,131658,3.35,865,19,92.0,6,6,121,0,2,5.1,3,61.8,80.4,96.3,1
200975,17,Female,Florida,88124,3.62,1211,28,92.6,5,3,78,3,1,3.2,1,68.3,84.0,71.9,1
876067,18,Male,Florida,91493,3.55,1258,25,100.0,0,7,31,2,4,1.6,3,100.0,75.6,84.8,1
793213,18,Male,Washington,67901,3.5,1343,32,83.4,4,4,75,2,1,6.1,1,77.3,85.4,70.2,1
804924,18,Male,California,84334,3.39,1176,33,97.5,4,6,99,3,0,5.0,0,84.7,73.5,86.9,1
43433,22,Female,California,82289,3.31,888,30,92.2,2,5,63,2,3,1.8,5,73.8,84.2,61.3,1
678926,17,Male,North Carolina,22226,3.53,1019,21,93.2,2,3,59,1,0,4.9,3,57.6,78.8,76.1,1
500997,20,Male,Washington,81384,2.96,919,21,89.6,2,4,37,1,1,4.2,2,72.8,76.0,80.8,0
235880,16,Male,North Carolina,143055,3.33,790,25,92.2,2,4,95,1,2,8.3,1,71.6,65.5,76.9,1
881765,17,Male,Texas,104600,3.73,554,24,100.0,1,6,291,2,4,6.8,1,72.4,67.0,76.1,1
514448,21,Male,Washington,68377,3.05,1391,23,84.8,2,7,131,1,3,6.7,2,64.4,80.2,66.7,1
531432,19,Female,Georgia,64764,3.08,941,31,87.4,3,2,192,2,1,1.8,3,75.7,100.0,88.1,1
938164,22,Female,Florida,24630,3.47,1343,27,93.0,2,7,113,2,5,5.8,3,66.1,64.4,74.4,1
807793,16,Male,Texas,72312,2.89,1209,36,96.3,2,5,79,2,3,5.7,2,98.2,73.4,92.1,1
391155,17,Male,Washington,80260,2.55,1334,14,91.6,5,3,161,2,4,5.2,2,88.3,90.7,62.1,1
120655,21,Female,North Carolina,39885,2.79,812,31,94.1,4,3,29,1,1,7.4,1,70.4,69.6,79.7,0
565468,16,Male,Illinois,28091,3.13,1260,24,86.0,2,9,57,1,2,1.3,1,56.8,78.2,58.5,1
477903,20,Male,Texas,45325,3.78,1047,21,93.8,2,2,97,4,2,3.8,4,78.7,91.2,87.1,1
810176,20,Female,Virginia,78275,3.54,1236,20,89.9,3,8,68,2,0,3.0,3,76.0,81.6,76.8,1
73808,18,Female,Florida,77305,3.89,1154,18,89.8,2,9,59,0,1,4.8,2,69.5,86.8,65.2,1
88583,21,Male,Washington,44325,3.54,1065,17,88.2,4,4,148,2,3,7.1,0,88.4,85.6,54.5,1
247254,18,Female,California,26496,4.0,949,21,92.7,3,9,59,0,2,5.4,3,50.9,73.1,77.7,1
969606,16,Female,Texas,124324,3.24,1150,18,91.4,1,7,127,0,0,1.5,3,79.4,75.5,52.5,1
739122,22,Female,Ohio,61050,3.05,1386,20,100.0,5,3,152,3,5,2.9,1,80.3,74.3,84.4,1
876127,18,Female,Ohio,27391,3.23,1552,24,100.0,4,4,123,0,5,5.1,1,74.8,81.9,72.7,1
34583,17,Female,Virginia,73737,3.89,965,21,85.9,3,5,76,1,3,2.3,1,76.4,62.2,76.6,1
569559,21,Female,Texas,107614,3.26,571,25,85.9,3,5,166,0,2,4.9,1,68.5,83.1,59.8,0
344292,19,Female,Washington,12856,3.45,656,36,91.9,1,3,86,1,1,3.2,2,92.6,75.4,66.2,1
958927,22,Female,Virginia,53583,3.39,1145,19,100.0,1,2,113,2,3,4.1,2,47.7,95.9,69.5,1
846931,18,Female,New York,48296,3.07,1396,25,96.4,2,5,122,1,2,3.0,0,74.0,69.8,83.6,1
24808,19,Male,New York,24706,2.52,1145,32,92.7,4,3,261,1,0,5.6,2,79.4,100.0,62.5,1
254481,18,Female,Ohio,98891,3.74,1138,35,92.4,3,3,140,1,1,5.5,7,76.3,77.2,82.7,1
905980,20,Female,Ohio,97477,2.72,764,21,81.9,1,4,30,0,4,4.5,1,71.1,77.2,69.9,0
757745,17,Male,New York,107368,3.86,1378,31,91.5,2,5,109,0,0,3.3,3,79.7,76.4,61.9,1
