league,country,season,place
Leagues Cup,N/C America,2025,2nd Place
CONMEBOL Copa America,South America,2024,Winner
Leagues Cup,N/C America,2023,Winner
US Open Cup,USA,2023,2nd Place
Ligue 1,France,2022/2023,Winner
CONMEBOL/UEFA Finalissima,World,2022,Winner
FIFA World Cup,World,2022,Winner
Trophée des Champions,France,2022,Winner
Ligue 1,France,2021/2022,Winner
CONMEBOL Copa America,South America,2021,Winner
Super Cup,Spain,2021,2nd Place
Copa del Rey,Spain,2020/2021,Winner
Trofeo Joan Gamper,World,2020,Winner
La Liga,Spain,2019/2020,2nd Place
Trofeo Joan Gamper,World,2019,Winner
La Liga,Spain,2018/2019,Winner
Copa del Rey,Spain,2018/2019,2nd Place
Super Cup,Spain,2018,Winner
Trofeo Joan Gamper,World,2018,Winner
Copa del Rey,Spain,2017/2018,Winner
La Liga,Spain,2017/2018,Winner
Trofeo Joan Gamper,World,2017,Winner
Super Cup,Spain,2017,2nd Place
La Liga,Spain,2016/2017,2nd Place
Copa del Rey,Spain,2016/2017,Winner
CONMEBOL Copa America,South America,2016,2nd Place
Trofeo Joan Gamper,World,2016,Winner
Super Cup,Spain,2016,Winner
La Liga,Spain,2015/2016,Winner
Copa del Rey,Spain,2015/2016,Winner
Super Cup,Spain,2015,2nd Place
UEFA Super Cup,Europe,2015,Winner
FIFA Intercontinental Cup,World,2015,Winner
CONMEBOL Copa America,South America,2015,2nd Place
UEFA Champions League,Europe,2014/2015,Winner
Copa del Rey,Spain,2014/2015,Winner
La Liga,Spain,2014/2015,Winner
FIFA World Cup,World,2014,2nd Place
Copa del Rey,Spain,2013/2014,2nd Place
Copa Catalunya,Spain,2013/2014,Winner
La Liga,Spain,2013/2014,2nd Place
Super Cup,Spain,2013,Winner
La Liga,Spain,2012/2013,Winner
Super Cup,Spain,2012,2nd Place
La Liga,Spain,2011/2012,2nd Place
Copa del Rey,Spain,2011/2012,Winner
UEFA Super Cup,Europe,2011/2012,Winner
Super Cup,Spain,2011,Winner
FIFA Intercontinental Cup,World,2011,Winner
La Liga,Spain,2010/2011,Winner
UEFA Champions League,Europe,2010/2011,Winner
Copa del Rey,Spain,2010/2011,2nd Place
Super Cup,Spain,2010,Winner
La Liga,Spain,2009/2010,Winner
FIFA Intercontinental Cup,World,2009,Winner
Super Cup,Spain,2009,Winner
UEFA Super Cup,Europe,2009,Winner
La Liga,Spain,2008/2009,Winner
UEFA Champions League,Europe,2008/2009,Winner
Copa del Rey,Spain,2008/2009,Winner
Olympics Men,World,2008,Winner
CONMEBOL Copa America,South America,2007,2nd Place
La Liga,Spain,2006/2007,2nd Place
UEFA Super Cup,Europe,2006/2007,2nd Place
Super Cup,Spain,2006,Winner
FIFA Intercontinental Cup,World,2006,2nd Place
UEFA Champions League,Europe,2005/2006,Winner
La Liga,Spain,2005/2006,Winner
Super Cup,Spain,2005,Winner
La Liga,Spain,2004/2005,Winner
Trofeo Joan Gamper,World,,Winner
Copa Catalunya,Spain,,Winner
FIFA Intercontinental Cup,World,,Winner
La Liga,Spain,,Winner
FIFA Intercontinental Cup,World,,2nd Place
Copa del Rey,Spain,,2nd Place
Copa del Rey,Spain,,Winner
CONMEBOL Copa America,South America,,Winner
UEFA Super Cup,Europe,,2nd Place
UEFA Super Cup,Europe,,Winner
Ligue 1,France,,Winner
CONMEBOL Copa America,South America,,2nd Place
UEFA Champions League,Europe,,Winner
Olympics Men,World,,Winner
Super Cup,Spain,,2nd Place
FIFA World Cup,World,,Winner
La Liga,Spain,,2nd Place
FIFA World Cup,World,,2nd Place
Super Cup,Spain,,Winner
CONMEBOL/UEFA Finalissima,World,,Winner
Trophée des Champions,France,,Winner
Leagues Cup,N/C America,,Winner
US Open Cup,USA,,2nd Place
Leagues Cup,N/C America,,2nd Place
